                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9706,                 2.1886,                 1.3128,                0.25604,                0.35375,                0.20583,                0.11251,                    nan,                    nan,                    nan,             0.00047157,             0.00047157,             0.00047157
                      2,                 1.1646,                 2.0825,                  1.406,                 0.2949,                0.20684,                0.24001,                0.12239,                    nan,                    nan,                    nan,             0.00093852,             0.00093852,             0.00093852
                      3,                 1.2832,                 2.4926,                 1.5015,                 0.1705,                0.17778,                 0.2246,                0.12791,                    nan,                    nan,                    nan,               0.001396,               0.001396,               0.001396
                      4,                 1.3984,                  2.294,                 1.5807,                0.20366,                0.22564,                0.16768,                0.08756,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3636,                 2.0592,                 1.5542,                0.08238,                0.36239,                0.04979,                0.02122,                    nan,                    nan,                    nan,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.3019,                 1.9717,                 1.5029,                0.28787,                0.30256,                 0.2445,                0.13294,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.3473,                 2.0674,                 1.5605,                0.28151,                0.22906,                 0.1951,                0.12629,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.3087,                 1.8751,                 1.4901,                0.11853,                0.28376,                0.10933,                0.05482,                    nan,                    nan,                    nan,                0.00133,                0.00133,                0.00133
                      9,                 1.3142,                 1.8372,                  1.491,                0.26851,                0.39145,                0.27658,                0.17845,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.1962,                 1.6933,                  1.438,                0.51169,                0.33773,                0.44732,                0.24201,                    nan,                    nan,                    nan,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.1337,                 1.5936,                  1.368,                0.41807,                0.35043,                0.33642,                0.21799,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2458,                 1.6265,                 1.4941,                0.30901,                0.36581,                0.29866,                0.18876,                    nan,                    nan,                    nan,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.1413,                 1.4949,                 1.4001,                0.65781,                0.43932,                0.45304,                0.26504,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
